# real imag
-2.272200687451230527e-18 0.000000000000000000e+00
3.918159590948515062e-18 0.000000000000000000e+00
2.284424399126361106e-18 0.000000000000000000e+00
2.443988269901603447e-18 0.000000000000000000e+00
-4.785704741826327774e-19 0.000000000000000000e+00
4.642095247122348606e-19 0.000000000000000000e+00
-1.789134571636919907e-19 0.000000000000000000e+00
5.814140990659996806e-18 0.000000000000000000e+00
2.006988991072817208e-18 0.000000000000000000e+00
2.253620478543193784e-18 0.000000000000000000e+00
-1.925999569982714616e-18 0.000000000000000000e+00
2.001558953693130111e-18 0.000000000000000000e+00
8.390219770523054839e-19 0.000000000000000000e+00
-2.127135889387295305e-18 0.000000000000000000e+00
-1.992879811279312031e-18 0.000000000000000000e+00
-5.378729870505952235e-18 0.000000000000000000e+00
-5.273772180477366868e-18 0.000000000000000000e+00
-9.853622291505768247e-20 0.000000000000000000e+00
-2.152726406565019330e-18 0.000000000000000000e+00
-1.999070205555621955e-18 0.000000000000000000e+00
-1.092161725075327104e-18 0.000000000000000000e+00
6.029397440957147344e-19 0.000000000000000000e+00
-2.224393758953252584e-18 0.000000000000000000e+00
2.085893321582505832e-18 0.000000000000000000e+00
1.598295957783082934e-19 0.000000000000000000e+00
3.780160385298031006e-19 0.000000000000000000e+00
-3.660213067367349073e-18 0.000000000000000000e+00
1.441879693144835962e-18 0.000000000000000000e+00
2.308554366470964851e-19 0.000000000000000000e+00
-7.466123686289718063e-19 0.000000000000000000e+00
-2.549785459334330358e-18 0.000000000000000000e+00
2.028987112606778777e-18 0.000000000000000000e+00
4.828845295356946105e-20 0.000000000000000000e+00
1.623610663137303456e-18 0.000000000000000000e+00
-1.154035865643703289e-18 0.000000000000000000e+00
1.068773266672739521e-18 0.000000000000000000e+00
2.088216366337774248e-18 0.000000000000000000e+00
4.067050817163797235e-18 0.000000000000000000e+00
2.675982703563422975e-18 0.000000000000000000e+00
-1.159652525186314125e-20 0.000000000000000000e+00
1.969111876676304736e-18 0.000000000000000000e+00
1.241366893467573130e-18 0.000000000000000000e+00
2.729390805980614136e-18 0.000000000000000000e+00
2.629046979835338421e-18 0.000000000000000000e+00
-3.467313199816936411e-19 0.000000000000000000e+00
9.984514723379209720e-04 0.000000000000000000e+00
6.063757975817731395e-18 0.000000000000000000e+00
-2.403017676821468006e-18 0.000000000000000000e+00
-2.279258948996414515e-18 0.000000000000000000e+00
-1.360116650485356367e-18 0.000000000000000000e+00
1.241547503015407540e-19 0.000000000000000000e+00
-1.283755776552379653e-18 0.000000000000000000e+00
-3.945380629811101111e-18 0.000000000000000000e+00
2.318238486871848653e-18 0.000000000000000000e+00
-8.059435099539612347e-19 0.000000000000000000e+00
-1.492293441875597252e-18 0.000000000000000000e+00
-2.098152656672772616e-18 0.000000000000000000e+00
-1.076662309806898058e-19 0.000000000000000000e+00
2.634283558392630018e-19 0.000000000000000000e+00
1.033404393359228996e-18 0.000000000000000000e+00
2.587513334909936380e-18 0.000000000000000000e+00
-1.943351767691475429e-18 0.000000000000000000e+00
5.886314918247232303e-19 0.000000000000000000e+00
2.040786960596363306e-19 0.000000000000000000e+00
9.408486339867636727e-20 0.000000000000000000e+00
5.238251727629729881e-19 0.000000000000000000e+00
-1.153693737648260001e-18 0.000000000000000000e+00
1.533868474912525073e-18 0.000000000000000000e+00
2.877561762613488935e-18 0.000000000000000000e+00
3.556035428069539318e-18 0.000000000000000000e+00
4.135558454408238705e-19 0.000000000000000000e+00
1.174201546553021752e-18 0.000000000000000000e+00
2.709768364222479710e-18 0.000000000000000000e+00
1.953492826645604334e-18 0.000000000000000000e+00
4.321640563381430459e-18 0.000000000000000000e+00
1.787454736459742653e-18 0.000000000000000000e+00
2.073953563649885277e-18 0.000000000000000000e+00
-9.743608725190640134e-04 0.000000000000000000e+00
-1.095261989014506117e-18 0.000000000000000000e+00
-1.910356633762362301e-18 0.000000000000000000e+00
-8.516552237994021790e-19 0.000000000000000000e+00
1.666605326102924531e-18 0.000000000000000000e+00
-4.168223171123351647e-18 0.000000000000000000e+00
1.195750777133323421e-18 0.000000000000000000e+00
1.852072879291288059e-18 0.000000000000000000e+00
2.034252453624068885e-18 0.000000000000000000e+00
-2.891748839285510826e-18 0.000000000000000000e+00
2.786405601517876138e-19 0.000000000000000000e+00
1.499703303713480251e-18 0.000000000000000000e+00
5.807402957289485826e-19 0.000000000000000000e+00
2.259386947421363603e-18 0.000000000000000000e+00
2.030914835056917818e-18 0.000000000000000000e+00
1.398535273073054464e-18 0.000000000000000000e+00
9.984514723379192373e-04 0.000000000000000000e+00
-2.929735559182320153e-19 0.000000000000000000e+00
3.785454225705273513e-18 0.000000000000000000e+00
5.068981202749330324e-19 0.000000000000000000e+00
1.558663560148699931e-18 0.000000000000000000e+00
2.709149082381602578e-18 0.000000000000000000e+00
3.985570896195540014e-18 0.000000000000000000e+00
1.302529594390581199e-18 0.000000000000000000e+00
9.984514723379155510e-04 0.000000000000000000e+00
